meeting_hours_per_week,meeting_counts_per_week,messages_sent_per_day,messages_received_per_day,avg_response_latency_min,communication_burstiness,after_hours_message_ratio,communication_balance,conversation_length_avg,avg_tasks_assigned_per_week,avg_tasks_completed_per_week,task_completion_rate,avg_task_age_days,overdue_task_ratio,task_comment_sentiment_mean,logged_hours_per_week,variance_in_work_hours,late_start_count_per_month,early_exit_count_per_month,absenteeism_rate,avg_break_length_minutes,performance_score,burnout_risk_score
9.5,11,93,133,9.6,0.37,0.201,0.69,12.2,19,14,0.72,8.3,0.29,0.04,43.4,1.04,5,0,0.044,59.0,0.64,0.38
7.6,10,61,112,16.6,0.2,0.072,0.6,20.7,23,20,0.88,12.5,0.15,0.07,40.1,1.27,4,0,0.03,52.3,0.75,0.3
9.9,12,106,71,6.5,0.29,0.104,1.4,11.6,19,16,0.84,5.5,0.15,0.26,46.1,1.93,3,0,0.007,59.8,0.7,0.41
12.6,6,48,42,19.3,0.48,0.18,1.12,9.8,30,28,0.93,1.7,0.09,-0.27,41.2,1.38,0,1,0.068,41.0,0.72,0.53
7.3,15,92,47,6.6,0.54,0.054,1.4,17.7,25,19,0.76,4.5,0.26,0.12,42.4,1.51,3,0,0.054,54.0,0.67,0.31
7.3,5,58,61,10.4,0.57,0.248,0.94,11.9,21,17,0.83,8.5,0.14,-0.6,44.9,1.46,4,2,0.054,30.0,0.63,0.49
12.7,11,74,73,8.6,0.13,0.228,1.0,6.2,25,19,0.75,3.7,0.23,-0.12,41.8,1.05,1,1,0.015,30.0,0.63,0.48
10.3,9,54,95,10.6,0.3,0.114,0.6,12.2,21,19,0.88,1.6,0.15,-0.21,35.0,1.41,3,0,0.053,53.0,0.69,0.37
6.6,11,100,69,12.2,0.23,0.297,1.4,8.1,23,22,0.95,3.7,0.14,-0.46,46.2,1.27,5,0,0.019,44.0,0.69,0.47
9.6,10,59,110,12.2,0.19,0.039,0.6,5.0,18,17,0.93,4.4,0.13,-0.3,47.0,1.15,3,1,0.055,45.0,0.7,0.45
6.6,9,93,93,6.2,0.4,0.075,0.99,7.6,28,28,0.98,2.8,0.0,-0.09,35.0,0.97,4,1,0.027,33.0,0.84,0.33
6.6,10,71,100,4.4,0.66,0.171,0.7,9.4,19,19,0.99,6.7,0.0,0.04,37.8,1.45,2,1,0.013,50.9,0.75,0.29
8.7,12,77,134,22.5,0.26,0.33,0.6,6.2,20,19,0.93,5.8,0.04,-0.1,50.0,1.81,2,1,0.073,38.6,0.73,0.53
2.3,13,83,64,7.6,0.19,0.088,1.28,14.9,27,21,0.79,8.4,0.22,-0.09,42.9,2.06,3,1,0.008,44.3,0.68,0.22
2.8,6,60,112,13.5,0.47,0.185,0.6,8.1,29,22,0.77,4.7,0.24,-0.39,42.0,0.8,2,2,0.061,37.7,0.64,0.4
6.3,9,85,99,2.0,0.29,0.023,0.85,14.4,24,20,0.83,7.7,0.23,-0.27,40.3,2.3,4,0,0.008,33.0,0.6,0.31
5.0,12,118,89,8.6,0.06,0.189,1.31,5.8,20,20,1.0,4.5,0.07,-0.05,37.9,1.65,3,1,0.055,41.9,0.71,0.42
8.9,8,60,126,9.4,0.08,0.192,0.6,16.5,27,22,0.82,2.6,0.18,-0.02,41.2,0.94,2,1,0.009,62.8,0.67,0.44
5.3,9,109,126,12.4,0.28,0.267,0.86,5.6,28,21,0.76,4.4,0.23,0.13,45.9,1.3,2,0,0.041,37.9,0.69,0.39
3.8,10,117,71,1.0,0.22,0.06,1.4,5.0,22,22,0.98,1.1,0.04,0.31,41.9,0.56,2,1,0.015,43.1,0.8,0.19
12.4,13,59,94,10.8,0.16,0.063,0.62,18.2,24,20,0.82,11.4,0.24,-0.07,44.4,0.69,0,1,0.069,41.0,0.67,0.49
7.3,15,43,108,4.3,0.27,0.12,0.6,7.7,18,16,0.91,6.4,0.12,0.11,49.1,2.36,1,0,0.032,35.4,0.74,0.29
8.2,5,87,91,11.6,0.19,0.208,0.95,20.8,27,25,0.94,3.6,0.04,0.15,39.7,1.15,2,0,0.001,63.4,0.74,0.31
3.7,14,66,117,4.8,0.21,0.009,0.6,14.8,26,25,0.95,4.9,0.02,-0.01,43.2,1.77,4,3,0.05,30.0,0.78,0.24
6.4,16,126,108,5.7,0.09,0.041,1.16,16.0,19,18,0.95,1.0,0.0,0.37,46.0,1.44,0,2,0.036,43.7,0.81,0.33
8.3,9,80,154,8.6,0.38,0.078,0.6,17.2,20,19,0.95,10.3,0.06,-0.23,38.3,1.51,4,1,0.069,32.3,0.74,0.44
4.5,10,59,54,4.7,0.67,0.107,1.07,12.6,30,27,0.9,10.0,0.13,-0.65,42.7,1.68,2,2,0.035,53.5,0.71,0.31
9.1,10,51,96,7.6,0.02,0.13,0.6,12.6,18,15,0.82,6.3,0.22,-0.43,49.5,0.46,2,0,0.033,47.0,0.64,0.46
6.2,16,107,72,4.0,0.26,0.078,1.4,18.4,26,23,0.9,7.0,0.16,0.36,40.6,2.16,2,0,0.036,62.7,0.77,0.23
7.1,11,65,118,1.0,0.31,0.022,0.6,12.6,25,24,0.95,2.2,0.12,-0.11,46.3,1.45,1,3,0.069,56.0,0.71,0.42
6.2,12,81,51,15.1,0.41,0.164,1.4,8.4,25,20,0.81,2.4,0.13,0.06,41.4,1.25,1,1,0.047,46.2,0.65,0.34
13.6,13,103,110,3.5,0.12,0.12,0.93,14.9,29,23,0.79,1.0,0.23,-0.21,49.2,1.73,0,2,0.054,56.2,0.65,0.42
8.0,14,67,81,9.1,0.3,0.133,0.82,5.0,25,20,0.8,5.5,0.22,0.05,35.4,1.14,3,0,0.058,57.5,0.68,0.27
4.8,10,78,77,13.8,0.35,0.271,1.0,18.6,25,22,0.87,9.2,0.13,-0.01,42.3,1.6,2,0,0.075,31.3,0.71,0.38
10.5,15,79,56,6.9,0.53,0.101,1.39,18.7,24,17,0.72,4.9,0.24,-0.16,36.1,1.42,0,0,0.067,56.6,0.64,0.43
4.3,20,97,86,5.9,0.32,0.112,1.11,18.0,20,19,0.93,7.0,0.14,0.15,39.2,1.86,3,1,0.074,49.5,0.76,0.25
8.6,11,94,132,11.1,0.44,0.238,0.71,17.8,28,21,0.74,8.9,0.23,-0.27,39.2,1.39,2,4,0.027,52.3,0.67,0.51
2.1,9,74,99,15.6,0.42,0.049,0.74,11.6,25,18,0.74,1.1,0.15,0.06,40.9,0.98,3,0,0.017,38.9,0.67,0.19
4.0,11,81,118,4.2,0.56,0.178,0.68,11.5,21,16,0.76,11.5,0.24,-0.19,37.2,1.68,4,0,0.016,32.2,0.63,0.36
8.6,15,70,149,9.2,0.32,0.068,0.6,5.9,23,20,0.87,9.5,0.12,-0.05,41.7,1.36,2,1,0.069,30.0,0.72,0.45
10.2,9,43,107,1.3,0.06,0.051,0.6,20.7,23,18,0.79,7.5,0.3,-0.45,43.8,0.59,0,2,0.066,30.0,0.59,0.5
8.5,12,86,83,8.0,0.57,0.137,1.02,9.6,38,31,0.81,8.8,0.21,-0.18,35.9,1.6,1,3,0.052,34.4,0.68,0.35
